Track	Artist	Album	Genre	Duration	Play Date	Play Time (ET)
John Coltrane	My Favorite Things	My Favorite Things	Jazz	13:41	2024-06-22	20:20
Miles Davis	So What	Kind of Blue	Jazz	9:22	2024-06-22	20:28
Andy McKee	Tight Trite Night	Joyland	Fingerstyle / Acoustic	4:20	2024-06-22	20:33
Iron and Wine	Passing Afternoon	Our Endless Numbered Days	Indie Folk	3:44	2024-06-22	20:47
Fleet Foxes	Blue Ridge Mountains	Fleet Foxes	Indie Folk	3:55	2024-06-22	20:54
Iron and Wine	Cinder and Smoke	The Shepherd's Dog	Indie Folk	4:52	2024-06-22	21:01
Iron and Wine	Passing Afternoon	Our Endless Numbered Days	Indie Folk	3:44	2024-06-23	20:22
Tommy Emmanuel	The Whopper	Live One	Fingerstyle / Acoustic	5:11	2024-06-23	20:35
Johann Sebastian Bach	Goldberg Variations - Aria (Glenn Gould 1981)	Goldberg Variations	Classical	2:57	2024-06-23	20:38
Andy McKee	For My Father	Joyland	Fingerstyle / Acoustic	3:57	2024-06-23	20:49
Tommy Emmanuel	Mombasa	Endless Road	Fingerstyle / Acoustic	4:44	2024-06-23	20:57
Kaki King	Playing with Pink Noise	Junior	Fingerstyle / Acoustic	3:14	2024-06-23	21:08
Andy McKee	Tight Trite Night	Joyland	Fingerstyle / Acoustic	4:20	2024-06-23	21:19
Andy McKee	Rylynn	Art of Motion	Fingerstyle / Acoustic	4:45	2024-06-24	20:09
Iron and Wine	Naked as We Came	Woman King	Indie Folk	2:40	2024-06-24	20:13
Andy McKee	Art of Motion	Art of Motion	Fingerstyle / Acoustic	5:29	2024-06-25	20:00
Johann Sebastian Bach	BWV 1004 Chaconne (Hilary Hahn)	Partitas for Solo Violin	Classical	14:12	2024-06-25	20:05
Fleet Foxes	Helplessness Blues	Helplessness Blues	Indie Folk	5:03	2024-06-25	20:12
Iron and Wine	Cinder and Smoke	The Shepherd's Dog	Indie Folk	4:52	2024-06-25	20:21
John Coltrane	Naima	Giant Steps	Jazz	4:23	2024-06-25	20:24
Tommy Emmanuel	Somewhere Over the Rainbow	Endless Road	Fingerstyle / Acoustic	4:18	2024-06-25	20:32
Miles Davis	Freddie Freeloader	Kind of Blue	Jazz	9:46	2024-06-25	20:45
Johann Sebastian Bach	Air on the G String (Academy of St Martin)	Orchestral Suites	Classical	5:38	2024-06-26	20:11
Iron and Wine	Resurrection Fern	The Shepherd's Dog	Indie Folk	4:08	2024-06-26	20:26
Miles Davis	Flamenco Sketches	Kind of Blue	Jazz	9:26	2024-06-26	20:42
Tommy Emmanuel	Somewhere Over the Rainbow	Endless Road	Fingerstyle / Acoustic	4:18	2024-06-26	20:47
Johann Sebastian Bach	BWV 1004 Chaconne (Hilary Hahn)	Partitas for Solo Violin	Classical	14:12	2024-06-26	20:50
Miles Davis	Flamenco Sketches	Kind of Blue	Jazz	9:26	2024-06-26	20:58
Fleet Foxes	Blue Ridge Mountains	Fleet Foxes	Indie Folk	3:55	2024-06-26	21:06
Andy McKee	For My Father	Joyland	Fingerstyle / Acoustic	3:57	2024-06-27	20:21
Andy McKee	Drifting	Art of Motion	Fingerstyle / Acoustic	5:02	2024-06-27	20:30
Fleet Foxes	White Winter Hymnal	Fleet Foxes	Indie Folk	2:27	2024-06-27	20:33
John Coltrane	A Love Supreme Part I - Acknowledgement	A Love Supreme	Jazz	7:44	2024-06-27	20:36
Kaki King	You Are the Blood	Junior	Fingerstyle / Acoustic	4:31	2024-06-27	20:50
Tommy Emmanuel	Angelina	It's Never Too Late	Fingerstyle / Acoustic	3:42	2024-06-28	20:10
Fleet Foxes	Helplessness Blues	Helplessness Blues	Indie Folk	5:03	2024-06-28	20:18
Miles Davis	Freddie Freeloader	Kind of Blue	Jazz	9:46	2024-06-28	20:26
John Coltrane	Naima	Giant Steps	Jazz	4:23	2024-06-28	20:36
Johann Sebastian Bach	BWV 1004 Chaconne (Hilary Hahn)	Partitas for Solo Violin	Classical	14:12	2024-06-28	20:49
Iron and Wine	Flightless Bird American Mouth	The Shepherd's Dog	Indie Folk	2:58	2024-06-28	20:55
Tommy Emmanuel	Angelina	It's Never Too Late	Fingerstyle / Acoustic	3:42	2024-06-28	21:11
Tommy Emmanuel	The Whopper	Live One	Fingerstyle / Acoustic	5:11	2024-06-29	20:18
Miles Davis	All Blues	Kind of Blue	Jazz	11:33	2024-06-29	20:21
John Coltrane	A Love Supreme Part I - Acknowledgement	A Love Supreme	Jazz	7:44	2024-06-29	20:31
John Coltrane	Equinox	Coltrane's Sound	Jazz	7:54	2024-06-29	20:35
Andy McKee	For My Father	Joyland	Fingerstyle / Acoustic	3:57	2024-06-29	20:41
Andy McKee	Tight Trite Night	Joyland	Fingerstyle / Acoustic	4:20	2024-06-30	20:05
Kaki King	You Are the Blood	Junior	Fingerstyle / Acoustic	4:31	2024-06-30	20:13
Fleet Foxes	Montezuma	Helplessness Blues	Indie Folk	4:19	2024-07-01	20:24
Iron and Wine	Flightless Bird American Mouth	The Shepherd's Dog	Indie Folk	2:58	2024-07-01	20:32
Miles Davis	All Blues	Kind of Blue	Jazz	11:33	2024-07-01	20:41
Andy McKee	Rylynn	Art of Motion	Fingerstyle / Acoustic	4:45	2024-07-01	20:46
Johann Sebastian Bach	Prelude in C Major BWV 846 (Angela Hewitt)	Well-Tempered Clavier Book I	Classical	2:14	2024-07-01	20:56
Miles Davis	All Blues	Kind of Blue	Jazz	11:33	2024-07-01	21:03
Johann Sebastian Bach	BWV 1004 Chaconne (Hilary Hahn)	Partitas for Solo Violin	Classical	14:12	2024-07-02	20:04
Tommy Emmanuel	Classical Gas	Fingerpicking Good	Fingerstyle / Acoustic	3:28	2024-07-02	20:17
Fleet Foxes	Montezuma	Helplessness Blues	Indie Folk	4:19	2024-07-02	20:32
John Coltrane	Equinox	Coltrane's Sound	Jazz	7:54	2024-07-02	20:48
Johann Sebastian Bach	BWV 1004 Chaconne (Hilary Hahn)	Partitas for Solo Violin	Classical	14:12	2024-07-02	20:58
John Coltrane	Equinox	Coltrane's Sound	Jazz	7:54	2024-07-03	20:30
John Coltrane	Equinox	Coltrane's Sound	Jazz	7:54	2024-07-03	20:43
Fleet Foxes	Montezuma	Helplessness Blues	Indie Folk	4:19	2024-07-03	20:47
Fleet Foxes	Helplessness Blues	Helplessness Blues	Indie Folk	5:03	2024-07-04	20:28
Fleet Foxes	White Winter Hymnal	Fleet Foxes	Indie Folk	2:27	2024-07-04	20:44
Andy McKee	Art of Motion	Art of Motion	Fingerstyle / Acoustic	5:29	2024-07-04	20:51
Miles Davis	Freddie Freeloader	Kind of Blue	Jazz	9:46	2024-07-04	21:03
Kaki King	Cargo Cult	Glow	Fingerstyle / Acoustic	3:48	2024-07-05	20:07
Miles Davis	All Blues	Kind of Blue	Jazz	11:33	2024-07-05	20:20
John Coltrane	A Love Supreme Part I - Acknowledgement	A Love Supreme	Jazz	7:44	2024-07-05	20:32
Iron and Wine	Cinder and Smoke	The Shepherd's Dog	Indie Folk	4:52	2024-07-05	20:36
Johann Sebastian Bach	Goldberg Variations - Aria (Glenn Gould 1981)	Goldberg Variations	Classical	2:57	2024-07-05	20:48
Miles Davis	Blue in Green	Kind of Blue	Jazz	5:37	2024-07-05	20:57
John Coltrane	Giant Steps	Giant Steps	Jazz	4:43	2024-07-06	20:11
Iron and Wine	Naked as We Came	Woman King	Indie Folk	2:40	2024-07-06	20:27
Iron and Wine	Naked as We Came	Woman King	Indie Folk	2:40	2024-07-06	20:31
John Coltrane	Giant Steps	Giant Steps	Jazz	4:43	2024-07-06	20:43
Andy McKee	Tight Trite Night	Joyland	Fingerstyle / Acoustic	4:20	2024-07-06	20:56
Kaki King	Cargo Cult	Glow	Fingerstyle / Acoustic	3:48	2024-07-06	21:00
John Coltrane	Giant Steps	Giant Steps	Jazz	4:43	2024-07-07	20:24
Andy McKee	Tight Trite Night	Joyland	Fingerstyle / Acoustic	4:20	2024-07-07	20:37
Iron and Wine	Cinder and Smoke	The Shepherd's Dog	Indie Folk	4:52	2024-07-07	20:41
Iron and Wine	Naked as We Came	Woman King	Indie Folk	2:40	2024-07-07	20:49
Miles Davis	Blue in Green	Kind of Blue	Jazz	5:37	2024-07-07	20:59
Fleet Foxes	Helplessness Blues	Helplessness Blues	Indie Folk	5:03	2024-07-07	21:10
Iron and Wine	Naked as We Came	Woman King	Indie Folk	2:40	2024-07-07	21:13
Fleet Foxes	White Winter Hymnal	Fleet Foxes	Indie Folk	2:27	2024-07-07	21:22
Tommy Emmanuel	Angelina	It's Never Too Late	Fingerstyle / Acoustic	3:42	2024-07-08	20:24
Miles Davis	Freddie Freeloader	Kind of Blue	Jazz	9:46	2024-07-08	20:38
Johann Sebastian Bach	Air on the G String (Academy of St Martin)	Orchestral Suites	Classical	5:38	2024-07-08	20:44
Fleet Foxes	White Winter Hymnal	Fleet Foxes	Indie Folk	2:27	2024-07-08	20:57
Fleet Foxes	White Winter Hymnal	Fleet Foxes	Indie Folk	2:27	2024-07-09	20:25
Miles Davis	All Blues	Kind of Blue	Jazz	11:33	2024-07-09	20:28
Fleet Foxes	Montezuma	Helplessness Blues	Indie Folk	4:19	2024-07-09	20:41
Tommy Emmanuel	The Whopper	Live One	Fingerstyle / Acoustic	5:11	2024-07-09	20:51
Miles Davis	Flamenco Sketches	Kind of Blue	Jazz	9:26	2024-07-09	21:00
Fleet Foxes	White Winter Hymnal	Fleet Foxes	Indie Folk	2:27	2024-07-09	21:15
Fleet Foxes	Helplessness Blues	Helplessness Blues	Indie Folk	5:03	2024-07-10	20:26
Andy McKee	Art of Motion	Art of Motion	Fingerstyle / Acoustic	5:29	2024-07-10	20:41
Kaki King	Playing with Pink Noise	Junior	Fingerstyle / Acoustic	3:14	2024-07-10	20:52
Tommy Emmanuel	Angelina	It's Never Too Late	Fingerstyle / Acoustic	3:42	2024-07-10	20:58
Iron and Wine	Flightless Bird American Mouth	The Shepherd's Dog	Indie Folk	2:58	2024-07-11	20:13
Iron and Wine	Naked as We Came	Woman King	Indie Folk	2:40	2024-07-11	20:16
Tommy Emmanuel	Classical Gas	Fingerpicking Good	Fingerstyle / Acoustic	3:28	2024-07-11	20:22
Iron and Wine	Flightless Bird American Mouth	The Shepherd's Dog	Indie Folk	2:58	2024-07-11	20:27
Andy McKee	Tight Trite Night	Joyland	Fingerstyle / Acoustic	4:20	2024-07-11	20:33
Miles Davis	Freddie Freeloader	Kind of Blue	Jazz	9:46	2024-07-11	20:46
Johann Sebastian Bach	BWV 1004 Chaconne (Hilary Hahn)	Partitas for Solo Violin	Classical	14:12	2024-07-11	20:53
Fleet Foxes	Montezuma	Helplessness Blues	Indie Folk	4:19	2024-07-12	20:17
Johann Sebastian Bach	Goldberg Variations - Aria (Glenn Gould 1981)	Goldberg Variations	Classical	2:57	2024-07-12	20:33
Kaki King	You Are the Blood	Junior	Fingerstyle / Acoustic	4:31	2024-07-12	20:46
Tommy Emmanuel	The Whopper	Live One	Fingerstyle / Acoustic	5:11	2024-07-12	20:49
Iron and Wine	Flightless Bird American Mouth	The Shepherd's Dog	Indie Folk	2:58	2024-07-12	20:59
Fleet Foxes	Mykonos	Sun Giant EP	Indie Folk	4:00	2024-07-12	21:06
Johann Sebastian Bach	Goldberg Variations - Aria (Glenn Gould 1981)	Goldberg Variations	Classical	2:57	2024-07-13	20:28
John Coltrane	A Love Supreme Part I - Acknowledgement	A Love Supreme	Jazz	7:44	2024-07-13	20:37
Tommy Emmanuel	Mombasa	Endless Road	Fingerstyle / Acoustic	4:44	2024-07-13	20:44
Andy McKee	Rylynn	Art of Motion	Fingerstyle / Acoustic	4:45	2024-07-14	20:22
John Coltrane	Naima	Giant Steps	Jazz	4:23	2024-07-14	20:27
Johann Sebastian Bach	Cello Suite No. 1 - Prelude (Yo-Yo Ma)	Six Unaccompanied Cello Suites	Classical	2:23	2024-07-14	20:35
Tommy Emmanuel	Mombasa	Endless Road	Fingerstyle / Acoustic	4:44	2024-07-14	20:47
Kaki King	You Are the Blood	Junior	Fingerstyle / Acoustic	4:31	2024-07-14	20:51
Andy McKee	Art of Motion	Art of Motion	Fingerstyle / Acoustic	5:29	2024-07-14	20:59
John Coltrane	Equinox	Coltrane's Sound	Jazz	7:54	2024-07-14	21:08
Iron and Wine	Passing Afternoon	Our Endless Numbered Days	Indie Folk	3:44	2024-07-15	20:03
Tommy Emmanuel	Mombasa	Endless Road	Fingerstyle / Acoustic	4:44	2024-07-15	20:10
Iron and Wine	Passing Afternoon	Our Endless Numbered Days	Indie Folk	3:44	2024-07-15	20:22
Kaki King	Playing with Pink Noise	Junior	Fingerstyle / Acoustic	3:14	2024-07-15	20:30
Tommy Emmanuel	Mombasa	Endless Road	Fingerstyle / Acoustic	4:44	2024-07-16	20:04
Andy McKee	Rylynn	Art of Motion	Fingerstyle / Acoustic	4:45	2024-07-16	20:12
Tommy Emmanuel	Somewhere Over the Rainbow	Endless Road	Fingerstyle / Acoustic	4:18	2024-07-16	20:20
Fleet Foxes	Montezuma	Helplessness Blues	Indie Folk	4:19	2024-07-16	20:26
Miles Davis	All Blues	Kind of Blue	Jazz	11:33	2024-07-16	20:30
Andy McKee	Art of Motion	Art of Motion	Fingerstyle / Acoustic	5:29	2024-07-16	20:46
John Coltrane	My Favorite Things	My Favorite Things	Jazz	13:41	2024-07-16	20:52
Fleet Foxes	Montezuma	Helplessness Blues	Indie Folk	4:19	2024-07-16	21:02
Kaki King	Playing with Pink Noise	Junior	Fingerstyle / Acoustic	3:14	2024-07-17	20:08
John Coltrane	Naima	Giant Steps	Jazz	4:23	2024-07-17	20:23
Miles Davis	All Blues	Kind of Blue	Jazz	11:33	2024-07-17	20:32
Fleet Foxes	Blue Ridge Mountains	Fleet Foxes	Indie Folk	3:55	2024-07-17	20:40
Kaki King	Playing with Pink Noise	Junior	Fingerstyle / Acoustic	3:14	2024-07-18	20:22
Kaki King	Playing with Pink Noise	Junior	Fingerstyle / Acoustic	3:14	2024-07-18	20:36
John Coltrane	My Favorite Things	My Favorite Things	Jazz	13:41	2024-07-18	20:41
Miles Davis	All Blues	Kind of Blue	Jazz	11:33	2024-07-19	20:17
Miles Davis	So What	Kind of Blue	Jazz	9:22	2024-07-19	20:25
Tommy Emmanuel	Classical Gas	Fingerpicking Good	Fingerstyle / Acoustic	3:28	2024-07-19	20:33
Miles Davis	Blue in Green	Kind of Blue	Jazz	5:37	2024-07-19	20:39
John Coltrane	Giant Steps	Giant Steps	Jazz	4:43	2024-07-19	20:45
Miles Davis	Flamenco Sketches	Kind of Blue	Jazz	9:26	2024-07-19	20:57
Miles Davis	All Blues	Kind of Blue	Jazz	11:33	2024-07-20	20:14
Andy McKee	Rylynn	Art of Motion	Fingerstyle / Acoustic	4:45	2024-07-20	20:19
Iron and Wine	Cinder and Smoke	The Shepherd's Dog	Indie Folk	4:52	2024-07-20	20:30
Fleet Foxes	Mykonos	Sun Giant EP	Indie Folk	4:00	2024-07-20	20:41
Johann Sebastian Bach	Prelude in C Major BWV 846 (Angela Hewitt)	Well-Tempered Clavier Book I	Classical	2:14	2024-07-21	20:11
Fleet Foxes	Blue Ridge Mountains	Fleet Foxes	Indie Folk	3:55	2024-07-21	20:16
Fleet Foxes	Helplessness Blues	Helplessness Blues	Indie Folk	5:03	2024-07-21	20:32
Johann Sebastian Bach	Cello Suite No. 1 - Prelude (Yo-Yo Ma)	Six Unaccompanied Cello Suites	Classical	2:23	2024-07-21	20:37
John Coltrane	Equinox	Coltrane's Sound	Jazz	7:54	2024-07-21	20:40
Johann Sebastian Bach	BWV 1004 Chaconne (Hilary Hahn)	Partitas for Solo Violin	Classical	14:12	2024-07-21	20:51
Miles Davis	Blue in Green	Kind of Blue	Jazz	5:37	2024-07-21	20:57
John Coltrane	Equinox	Coltrane's Sound	Jazz	7:54	2024-07-21	21:02
John Coltrane	A Love Supreme Part I - Acknowledgement	A Love Supreme	Jazz	7:44	2024-07-22	20:20
Fleet Foxes	Helplessness Blues	Helplessness Blues	Indie Folk	5:03	2024-07-22	20:25
Fleet Foxes	White Winter Hymnal	Fleet Foxes	Indie Folk	2:27	2024-07-22	20:38
Andy McKee	Tight Trite Night	Joyland	Fingerstyle / Acoustic	4:20	2024-07-22	20:52
Tommy Emmanuel	The Whopper	Live One	Fingerstyle / Acoustic	5:11	2024-07-23	20:16
Kaki King	Playing with Pink Noise	Junior	Fingerstyle / Acoustic	3:14	2024-07-23	20:21
Tommy Emmanuel	Angelina	It's Never Too Late	Fingerstyle / Acoustic	3:42	2024-07-23	20:36
Johann Sebastian Bach	Prelude in C Major BWV 846 (Angela Hewitt)	Well-Tempered Clavier Book I	Classical	2:14	2024-07-23	20:45
Andy McKee	Drifting	Art of Motion	Fingerstyle / Acoustic	5:02	2024-07-23	20:54
Iron and Wine	Resurrection Fern	The Shepherd's Dog	Indie Folk	4:08	2024-07-23	21:02
Kaki King	You Are the Blood	Junior	Fingerstyle / Acoustic	4:31	2024-07-23	21:09
Miles Davis	Flamenco Sketches	Kind of Blue	Jazz	9:26	2024-07-24	20:04
Andy McKee	Drifting	Art of Motion	Fingerstyle / Acoustic	5:02	2024-07-24	20:08
Andy McKee	Drifting	Art of Motion	Fingerstyle / Acoustic	5:02	2024-07-24	20:15
Fleet Foxes	Mykonos	Sun Giant EP	Indie Folk	4:00	2024-07-24	20:23
Kaki King	Playing with Pink Noise	Junior	Fingerstyle / Acoustic	3:14	2024-07-25	20:29
Fleet Foxes	Blue Ridge Mountains	Fleet Foxes	Indie Folk	3:55	2024-07-25	20:38
Andy McKee	Tight Trite Night	Joyland	Fingerstyle / Acoustic	4:20	2024-07-25	20:49
Miles Davis	Flamenco Sketches	Kind of Blue	Jazz	9:26	2024-07-25	20:55
John Coltrane	Equinox	Coltrane's Sound	Jazz	7:54	2024-07-26	20:03
Johann Sebastian Bach	Air on the G String (Academy of St Martin)	Orchestral Suites	Classical	5:38	2024-07-26	20:11
Fleet Foxes	Helplessness Blues	Helplessness Blues	Indie Folk	5:03	2024-07-27	20:07
John Coltrane	Naima	Giant Steps	Jazz	4:23	2024-07-27	20:14
Johann Sebastian Bach	BWV 1004 Chaconne (Hilary Hahn)	Partitas for Solo Violin	Classical	14:12	2024-07-27	20:24
Tommy Emmanuel	Somewhere Over the Rainbow	Endless Road	Fingerstyle / Acoustic	4:18	2024-07-27	20:31
Iron and Wine	Cinder and Smoke	The Shepherd's Dog	Indie Folk	4:52	2024-07-28	20:20
Andy McKee	Tight Trite Night	Joyland	Fingerstyle / Acoustic	4:20	2024-07-28	20:35
Iron and Wine	Naked as We Came	Woman King	Indie Folk	2:40	2024-07-28	20:45
Johann Sebastian Bach	Goldberg Variations - Aria (Glenn Gould 1981)	Goldberg Variations	Classical	2:57	2024-07-29	20:14
Tommy Emmanuel	The Whopper	Live One	Fingerstyle / Acoustic	5:11	2024-07-29	20:17
John Coltrane	Naima	Giant Steps	Jazz	4:23	2024-07-29	20:29
Tommy Emmanuel	Classical Gas	Fingerpicking Good	Fingerstyle / Acoustic	3:28	2024-07-30	20:27
Fleet Foxes	Montezuma	Helplessness Blues	Indie Folk	4:19	2024-07-30	20:40
Miles Davis	Flamenco Sketches	Kind of Blue	Jazz	9:26	2024-07-30	20:54
Miles Davis	Freddie Freeloader	Kind of Blue	Jazz	9:46	2024-07-30	21:07
Johann Sebastian Bach	Goldberg Variations - Aria (Glenn Gould 1981)	Goldberg Variations	Classical	2:57	2024-07-30	21:20
Johann Sebastian Bach	Goldberg Variations - Aria (Glenn Gould 1981)	Goldberg Variations	Classical	2:57	2024-07-30	21:25
John Coltrane	A Love Supreme Part I - Acknowledgement	A Love Supreme	Jazz	7:44	2024-07-31	20:13
John Coltrane	Giant Steps	Giant Steps	Jazz	4:43	2024-07-31	20:29
Fleet Foxes	White Winter Hymnal	Fleet Foxes	Indie Folk	2:27	2024-07-31	20:39
Johann Sebastian Bach	BWV 1004 Chaconne (Hilary Hahn)	Partitas for Solo Violin	Classical	14:12	2024-07-31	20:52
Johann Sebastian Bach	Air on the G String (Academy of St Martin)	Orchestral Suites	Classical	5:38	2024-07-31	21:05
Miles Davis	Freddie Freeloader	Kind of Blue	Jazz	9:46	2024-07-31	21:17
Tommy Emmanuel	Angelina	It's Never Too Late	Fingerstyle / Acoustic	3:42	2024-08-01	20:29
John Coltrane	A Love Supreme Part I - Acknowledgement	A Love Supreme	Jazz	7:44	2024-08-01	20:33
Iron and Wine	Naked as We Came	Woman King	Indie Folk	2:40	2024-08-01	20:45
Andy McKee	Tight Trite Night	Joyland	Fingerstyle / Acoustic	4:20	2024-08-01	20:55
John Coltrane	Naima	Giant Steps	Jazz	4:23	2024-08-01	21:07
Kaki King	You Are the Blood	Junior	Fingerstyle / Acoustic	4:31	2024-08-01	21:19
Fleet Foxes	White Winter Hymnal	Fleet Foxes	Indie Folk	2:27	2024-08-01	21:24
Tommy Emmanuel	Angelina	It's Never Too Late	Fingerstyle / Acoustic	3:42	2024-08-02	20:16
Tommy Emmanuel	Mombasa	Endless Road	Fingerstyle / Acoustic	4:44	2024-08-02	20:22
Miles Davis	All Blues	Kind of Blue	Jazz	11:33	2024-08-03	20:20
Andy McKee	Rylynn	Art of Motion	Fingerstyle / Acoustic	4:45	2024-08-03	20:29
Andy McKee	For My Father	Joyland	Fingerstyle / Acoustic	3:57	2024-08-03	20:45
Johann Sebastian Bach	Goldberg Variations - Aria (Glenn Gould 1981)	Goldberg Variations	Classical	2:57	2024-08-03	20:56
Miles Davis	All Blues	Kind of Blue	Jazz	11:33	2024-08-03	21:01
John Coltrane	My Favorite Things	My Favorite Things	Jazz	13:41	2024-08-04	20:12
Fleet Foxes	Mykonos	Sun Giant EP	Indie Folk	4:00	2024-08-04	20:21
John Coltrane	Naima	Giant Steps	Jazz	4:23	2024-08-04	20:25
Iron and Wine	Naked as We Came	Woman King	Indie Folk	2:40	2024-08-04	20:40
Tommy Emmanuel	Angelina	It's Never Too Late	Fingerstyle / Acoustic	3:42	2024-08-04	20:46
Johann Sebastian Bach	Goldberg Variations - Aria (Glenn Gould 1981)	Goldberg Variations	Classical	2:57	2024-08-04	20:59
Tommy Emmanuel	The Whopper	Live One	Fingerstyle / Acoustic	5:11	2024-08-04	21:06
Tommy Emmanuel	Classical Gas	Fingerpicking Good	Fingerstyle / Acoustic	3:28	2024-08-05	20:11
John Coltrane	Naima	Giant Steps	Jazz	4:23	2024-08-05	20:14
John Coltrane	Giant Steps	Giant Steps	Jazz	4:43	2024-08-05	20:23
Fleet Foxes	White Winter Hymnal	Fleet Foxes	Indie Folk	2:27	2024-08-05	20:33
John Coltrane	Giant Steps	Giant Steps	Jazz	4:43	2024-08-05	20:38
John Coltrane	Naima	Giant Steps	Jazz	4:23	2024-08-05	20:52
Kaki King	You Are the Blood	Junior	Fingerstyle / Acoustic	4:31	2024-08-06	20:16
Tommy Emmanuel	Classical Gas	Fingerpicking Good	Fingerstyle / Acoustic	3:28	2024-08-06	20:31
Johann Sebastian Bach	Air on the G String (Academy of St Martin)	Orchestral Suites	Classical	5:38	2024-08-06	20:40
Fleet Foxes	Helplessness Blues	Helplessness Blues	Indie Folk	5:03	2024-08-06	20:53
Fleet Foxes	Mykonos	Sun Giant EP	Indie Folk	4:00	2024-08-06	21:00
Andy McKee	Tight Trite Night	Joyland	Fingerstyle / Acoustic	4:20	2024-08-06	21:05
Johann Sebastian Bach	BWV 1004 Chaconne (Hilary Hahn)	Partitas for Solo Violin	Classical	14:12	2024-08-06	21:20
John Coltrane	Giant Steps	Giant Steps	Jazz	4:43	2024-08-07	20:10
Johann Sebastian Bach	Prelude in C Major BWV 846 (Angela Hewitt)	Well-Tempered Clavier Book I	Classical	2:14	2024-08-07	20:15
Fleet Foxes	Helplessness Blues	Helplessness Blues	Indie Folk	5:03	2024-08-07	20:29
Kaki King	You Are the Blood	Junior	Fingerstyle / Acoustic	4:31	2024-08-07	20:37
Iron and Wine	Cinder and Smoke	The Shepherd's Dog	Indie Folk	4:52	2024-08-08	20:05
Tommy Emmanuel	Angelina	It's Never Too Late	Fingerstyle / Acoustic	3:42	2024-08-08	20:21
John Coltrane	Giant Steps	Giant Steps	Jazz	4:43	2024-08-09	20:10
Iron and Wine	Passing Afternoon	Our Endless Numbered Days	Indie Folk	3:44	2024-08-09	20:15
Tommy Emmanuel	Angelina	It's Never Too Late	Fingerstyle / Acoustic	3:42	2024-08-09	20:25
Iron and Wine	Flightless Bird American Mouth	The Shepherd's Dog	Indie Folk	2:58	2024-08-09	20:33
Johann Sebastian Bach	BWV 1004 Chaconne (Hilary Hahn)	Partitas for Solo Violin	Classical	14:12	2024-08-09	20:39
Johann Sebastian Bach	Goldberg Variations - Aria (Glenn Gould 1981)	Goldberg Variations	Classical	2:57	2024-08-09	20:43
Johann Sebastian Bach	BWV 1004 Chaconne (Hilary Hahn)	Partitas for Solo Violin	Classical	14:12	2024-08-09	20:52
Miles Davis	Blue in Green	Kind of Blue	Jazz	5:37	2024-08-10	20:00
Andy McKee	Drifting	Art of Motion	Fingerstyle / Acoustic	5:02	2024-08-10	20:16
Andy McKee	Rylynn	Art of Motion	Fingerstyle / Acoustic	4:45	2024-08-10	20:20
Kaki King	You Are the Blood	Junior	Fingerstyle / Acoustic	4:31	2024-08-11	20:06
John Coltrane	Naima	Giant Steps	Jazz	4:23	2024-08-11	20:18
Fleet Foxes	Blue Ridge Mountains	Fleet Foxes	Indie Folk	3:55	2024-08-11	20:30
Fleet Foxes	Montezuma	Helplessness Blues	Indie Folk	4:19	2024-08-11	20:37
Miles Davis	Freddie Freeloader	Kind of Blue	Jazz	9:46	2024-08-11	20:48
Andy McKee	Art of Motion	Art of Motion	Fingerstyle / Acoustic	5:29	2024-08-11	21:01
Miles Davis	So What	Kind of Blue	Jazz	9:22	2024-08-12	20:16
Iron and Wine	Naked as We Came	Woman King	Indie Folk	2:40	2024-08-12	20:29
Andy McKee	For My Father	Joyland	Fingerstyle / Acoustic	3:57	2024-08-12	20:33
Kaki King	Playing with Pink Noise	Junior	Fingerstyle / Acoustic	3:14	2024-08-12	20:38
Fleet Foxes	Helplessness Blues	Helplessness Blues	Indie Folk	5:03	2024-08-13	20:28
Iron and Wine	Cinder and Smoke	The Shepherd's Dog	Indie Folk	4:52	2024-08-13	20:36
Miles Davis	Blue in Green	Kind of Blue	Jazz	5:37	2024-08-13	20:47
Andy McKee	For My Father	Joyland	Fingerstyle / Acoustic	3:57	2024-08-13	20:58
Miles Davis	Flamenco Sketches	Kind of Blue	Jazz	9:26	2024-08-13	21:04
John Coltrane	Giant Steps	Giant Steps	Jazz	4:43	2024-08-13	21:11
Johann Sebastian Bach	BWV 1004 Chaconne (Hilary Hahn)	Partitas for Solo Violin	Classical	14:12	2024-08-13	21:16
Iron and Wine	Naked as We Came	Woman King	Indie Folk	2:40	2024-08-13	21:31
Tommy Emmanuel	The Whopper	Live One	Fingerstyle / Acoustic	5:11	2024-08-14	20:19
Iron and Wine	Resurrection Fern	The Shepherd's Dog	Indie Folk	4:08	2024-08-14	20:23
Fleet Foxes	Montezuma	Helplessness Blues	Indie Folk	4:19	2024-08-14	20:31
Johann Sebastian Bach	Cello Suite No. 1 - Prelude (Yo-Yo Ma)	Six Unaccompanied Cello Suites	Classical	2:23	2024-08-14	20:40
Johann Sebastian Bach	BWV 1004 Chaconne (Hilary Hahn)	Partitas for Solo Violin	Classical	14:12	2024-08-14	20:51
John Coltrane	My Favorite Things	My Favorite Things	Jazz	13:41	2024-08-14	20:57
Andy McKee	For My Father	Joyland	Fingerstyle / Acoustic	3:57	2024-08-14	21:00
Iron and Wine	Passing Afternoon	Our Endless Numbered Days	Indie Folk	3:44	2024-08-15	20:13
